date,venue,venueCode,raceNo,first,second,third,winBoat,winPayout,place1Boat,place1Payout,place2Boat,place2Payout,place3Boat,place3Payout,exactaCombination,exactaPayout,trifectaCombination,trifectaPayout,quinellaCombination,quinellaPayout,trioCombination,trioPayout
2026-09-12,戸田,2,1,5,2,1,5,780,5,330,2,210,,,5-2,5280,5-2-1,13470,2=5,2120,1=2=5,630
2026-09-12,戸田,2,2,2,3,5,2,140,2,100,3,130,,,2-3,300,2-3-5,1010,2=3,190,2=3=5,620
2026-09-12,戸田,2,3,4,5,6,4,160,4,120,5,500,,,4-5,1330,4-5-6,2380,4=5,1450,4=5=6,1170
2026-09-12,戸田,2,4,2,3,5,2,150,2,120,3,390,,,2-3,800,2-3-5,2380,2=3,830,2=3=5,780
2026-09-12,戸田,2,5,4,6,1,4,200,4,120,6,220,,,4-6,1500,4-6-1,2680,4=6,1550,1=4=6,520
2026-09-12,戸田,2,6,6,4,1,6,390,6,380,4,610,,,6-4,2250,6-4-1,12160,4=6,1610,1=4=6,2520
2026-09-12,戸田,2,7,1,6,2,1,120,1,100,6,320,,,1-6,700,1-6-2,3530,1=6,500,1=2=6,1280
2026-09-12,戸田,2,8,1,2,4,1,230,1,160,2,190,,,1-2,990,1-2-4,7440,1=2,510,1=2=4,2420
2026-09-12,戸田,2,9,1,4,2,1,180,1,110,4,100,,,1-4,430,1-4-2,2430,1=4,280,1=2=4,800
2026-09-12,戸田,2,10,1,2,5,1,130,1,100,2,130,,,1-2,270,1-2-5,890,1=2,170,1=2=5,340
2026-09-12,戸田,2,11,1,2,3,1,140,1,220,2,470,,,1-2,420,1-2-3,1310,1=2,580,1=2=3,470
2026-09-12,戸田,2,12,5,1,2,5,350,5,180,1,100,,,5-1,970,5-1-2,2660,1=5,250,1=2=5,310
2026-09-12,多摩川,5,1,1,2,6,1,130,1,120,2,120,,,1-2,270,1-2-6,6200,1=2,190,1=2=6,3710
2026-09-12,多摩川,5,2,6,1,4,6,340,6,100,1,110,,,6-1,830,6-1-4,1420,1=6,320,1=4=6,290
2026-09-12,多摩川,5,3,1,4,2,1,230,1,100,4,250,,,1-4,610,1-4-2,6680,1=4,590,1=2=4,2080
2026-09-12,多摩川,5,4,2,4,6,2,210,2,140,4,120,,,2-4,630,2-4-6,1750,2=4,420,2=4=6,540
2026-09-12,多摩川,5,5,2,3,1,2,660,2,240,3,170,,,2-3,4850,2-3-1,12210,2=3,1440,1=2=3,260
2026-09-12,多摩川,5,6,1,3,5,1,130,1,120,3,130,,,1-3,280,1-3-5,670,1=3,140,1=3=5,350
2026-09-12,多摩川,5,7,1,3,6,1,110,1,100,3,130,,,1-3,310,1-3-6,810,1=3,300,1=3=6,380
2026-09-12,多摩川,5,8,1,3,2,1,120,1,100,3,100,,,1-3,160,1-3-2,360,1=3,180,1=2=3,160
2026-09-12,多摩川,5,9,6,1,5,6,310,6,170,1,130,,,6-1,1310,6-1-5,8240,1=6,630,1=5=6,1930
2026-09-12,多摩川,5,10,2,1,4,2,1340,2,160,1,170,,,2-1,1530,2-1-4,6040,1=2,270,1=2=4,610
2026-09-12,多摩川,5,11,3,1,2,3,1250,3,140,1,100,,,3-1,1350,3-1-2,4860,1=3,340,1=2=3,380
2026-09-12,多摩川,5,12,1,4,3,1,170,1,100,4,280,,,1-4,990,1-4-3,2260,1=4,490,1=3=4,490
2026-09-12,浜名湖,6,1,1,2,3,1,180,1,100,2,120,,,1-2,280,1-2-3,820,1=2,220,1=2=3,330
2026-09-12,浜名湖,6,2,3,1,6,3,320,3,100,1,100,,,3-1,1310,3-1-6,3180,1=3,410,1=3=6,590
2026-09-12,浜名湖,6,3,3,1,4,3,240,3,180,1,150,,,3-1,810,3-1-4,2950,1=3,250,1=3=4,920
2026-09-12,浜名湖,6,4,1,3,5,1,120,1,110,3,120,,,1-3,580,1-3-5,1560,1=3,470,1=3=5,720
2026-09-12,浜名湖,6,5,1,4,5,1,130,1,130,4,270,,,1-4,490,1-4-5,1210,1=4,640,1=4=5,310
2026-09-12,浜名湖,6,6,3,1,4,3,220,3,100,1,180,,,3-1,560,3-1-4,1540,1=3,400,1=3=4,410
2026-09-12,浜名湖,6,7,1,6,3,1,370,1,1140,6,600,,,1-6,5920,1-6-3,27130,1=6,1820,1=3=6,2960
